date,adresse,RFID,note,commentaire,dateNotation
2020-01-12,"23, boulevard Patrick Boulanger 22560 Sainte Margo",1499289112,5,Superbe raclette traditionnelle !,2020-01-14
2020-01-12,"23, boulevard Patrick Boulanger 22560 Sainte Margo",7167869817,5,Superbe raclette traditionnelle !,2020-01-14
2020-01-12,"23, boulevard Patrick Boulanger 22560 Sainte Margo",2751386822,4,Superbe raclette traditionnelle !,2020-01-12
2020-01-12,"23, boulevard Patrick Boulanger 22560 Sainte Margo",5230056293,5,Superbe raclette traditionnelle !,2020-01-12
2021-02-22,"27, rue Girard 17980 Lacombe-les-Bains",7699824019,5,Superbe raclette traditionnelle !,2021-02-24
2021-02-22,"27, rue Girard 17980 Lacombe-les-Bains",7765861146,4,Superbe raclette traditionnelle !,2021-02-22
2021-02-22,"27, rue Girard 17980 Lacombe-les-Bains",5077820643,5,Superbe raclette traditionnelle !,2021-02-23
2021-02-22,"27, rue Girard 17980 Lacombe-les-Bains",4507990948,4,Superbe raclette traditionnelle !,2021-02-22
2021-12-22,"38, chemin Julien 15846 Peron-sur-Grenier",4403819110,5,Superbe raclette traditionnelle !,2021-12-24
2021-12-22,"38, chemin Julien 15846 Peron-sur-Grenier",2901752684,5,Superbe raclette traditionnelle !,2021-12-24
2021-12-22,"38, chemin Julien 15846 Peron-sur-Grenier",9230722660,5,Superbe raclette traditionnelle !,2021-12-22
2021-12-22,"38, chemin Julien 15846 Peron-sur-Grenier",2503704116,5,Superbe raclette traditionnelle !,2021-12-22
2021-12-22,"38, chemin Julien 15846 Peron-sur-Grenier",8509963215,5,Superbe raclette traditionnelle !,2021-12-23
2023-02-26,"8, chemin Fernandez 47926 Henry-les-Bains",4715374630,5,Superbe raclette traditionnelle !,2023-02-26
2023-02-26,"8, chemin Fernandez 47926 Henry-les-Bains",1292247999,4,Superbe raclette traditionnelle !,2023-02-26
2020-01-18,"12, chemin Letellier 83914 Jacquet",5247939270,4,Superbe raclette traditionnelle !,2020-01-20
2020-01-18,"12, chemin Letellier 83914 Jacquet",1987946858,5,Superbe raclette traditionnelle !,2020-01-19
2022-12-18,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",1957920867,5,Superbe raclette traditionnelle !,2022-12-19
2022-12-18,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",2055479051,5,Superbe raclette traditionnelle !,2022-12-19
2022-12-18,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",4789840656,4,Superbe raclette traditionnelle !,2022-12-18
2022-12-18,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",5904298554,4,Superbe raclette traditionnelle !,2022-12-19
2022-12-18,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",6907047868,4,Superbe raclette traditionnelle !,2022-12-20
2022-01-08,"1, boulevard Coste 89602 Delattre-sur-Raymond",6331192772,5,Superbe raclette traditionnelle !,2022-01-10
2022-01-08,"1, boulevard Coste 89602 Delattre-sur-Raymond",2121095046,5,Superbe raclette traditionnelle !,2022-01-10
2022-01-08,"1, boulevard Coste 89602 Delattre-sur-Raymond",3890521930,5,Superbe raclette traditionnelle !,2022-01-08
2022-01-08,"1, boulevard Coste 89602 Delattre-sur-Raymond",2984347995,5,Superbe raclette traditionnelle !,2022-01-10
2023-12-14,"28, rue Rodrigues 95203 Gilbert",7760161173,4,Superbe raclette traditionnelle !,2023-12-16
2023-12-14,"28, rue Rodrigues 95203 Gilbert",7804847074,5,Superbe raclette traditionnelle !,2023-12-16
2023-12-14,"28, rue Rodrigues 95203 Gilbert",4929147630,5,Superbe raclette traditionnelle !,2023-12-15
2023-12-14,"28, rue Rodrigues 95203 Gilbert",1360750744,4,Superbe raclette traditionnelle !,2023-12-15
2025-11-29,"18, avenue Descamps 62353 Saint Margaux",1435866335,2,"Decevant, il y avait des Sûr...",2025-11-30
2025-11-29,"18, avenue Descamps 62353 Saint Margaux",1249718113,2,"Decevant, il y avait des Sûr...",2025-11-29
2021-01-31,"79, chemin de Thibault 97228 Mahe",9033976479,5,Superbe raclette traditionnelle !,2021-02-02
2021-01-31,"79, chemin de Thibault 97228 Mahe",5890863343,5,Superbe raclette traditionnelle !,2021-02-02
2021-01-31,"79, chemin de Thibault 97228 Mahe",2099396411,4,Superbe raclette traditionnelle !,2021-01-31
2021-01-31,"79, chemin de Thibault 97228 Mahe",8082229993,4,Superbe raclette traditionnelle !,2021-02-02
2021-01-31,"79, chemin de Thibault 97228 Mahe",4884462924,4,Superbe raclette traditionnelle !,2021-01-31
2021-07-14,"92, rue de Gaillard 02327 ReyBourg",1622781206,5,Superbe raclette traditionnelle !,2021-07-15
2021-07-14,"92, rue de Gaillard 02327 ReyBourg",8783698661,4,Superbe raclette traditionnelle !,2021-07-14
2024-02-13,"18, avenue Descamps 62353 Saint Margaux",1024830064,4,Superbe raclette traditionnelle !,2024-02-14
2024-02-13,"18, avenue Descamps 62353 Saint Margaux",6132141253,4,Superbe raclette traditionnelle !,2024-02-15
2024-02-13,"18, avenue Descamps 62353 Saint Margaux",3259537363,5,Superbe raclette traditionnelle !,2024-02-14
2021-03-31,"20, chemin de Pineau 26928 Fernandez",7015603029,4,Superbe raclette traditionnelle !,2021-03-31
2021-03-31,"20, chemin de Pineau 26928 Fernandez",7464277803,4,Superbe raclette traditionnelle !,2021-03-31
2022-02-27,"20, chemin de Pineau 26928 Fernandez",1785626498,4,Superbe raclette traditionnelle !,2022-02-28
2022-02-27,"20, chemin de Pineau 26928 Fernandez",7313527183,4,Superbe raclette traditionnelle !,2022-02-28
2022-02-27,"20, chemin de Pineau 26928 Fernandez",1711303628,5,Superbe raclette traditionnelle !,2022-02-27
2022-02-27,"20, chemin de Pineau 26928 Fernandez",9332049529,5,Superbe raclette traditionnelle !,2022-03-01
2022-02-27,"20, chemin de Pineau 26928 Fernandez",7826205319,5,Superbe raclette traditionnelle !,2022-03-01
2020-01-24,"61, boulevard de Blanc 67736 Sainte Simonenec",9512200205,4,Superbe raclette traditionnelle !,2020-01-25
2020-01-24,"61, boulevard de Blanc 67736 Sainte Simonenec",6570999283,4,Superbe raclette traditionnelle !,2020-01-26
2024-01-15,"82, boulevard Lemoine 54413 Sainte Margotnec",9274809889,4,Superbe raclette traditionnelle !,2024-01-15
2024-01-15,"82, boulevard Lemoine 54413 Sainte Margotnec",8788980581,4,Superbe raclette traditionnelle !,2024-01-16
2024-02-25,"20, chemin de Pineau 26928 Fernandez",8383853669,4,Superbe raclette traditionnelle !,2024-02-26
2024-02-25,"20, chemin de Pineau 26928 Fernandez",9180002506,5,Superbe raclette traditionnelle !,2024-02-25
2024-02-25,"20, chemin de Pineau 26928 Fernandez",6312077699,5,Superbe raclette traditionnelle !,2024-02-26
2024-02-25,"20, chemin de Pineau 26928 Fernandez",9231112274,5,Superbe raclette traditionnelle !,2024-02-25
2023-02-03,"690, boulevard Constance Martinez 69634 Lucas",7660392014,5,Superbe raclette traditionnelle !,2023-02-05
2023-02-03,"690, boulevard Constance Martinez 69634 Lucas",6353513166,5,Superbe raclette traditionnelle !,2023-02-03
2023-02-03,"690, boulevard Constance Martinez 69634 Lucas",6122038604,4,Superbe raclette traditionnelle !,2023-02-05
2023-02-03,"690, boulevard Constance Martinez 69634 Lucas",1324589315,5,Superbe raclette traditionnelle !,2023-02-04
2023-02-03,"690, boulevard Constance Martinez 69634 Lucas",9794008348,5,Superbe raclette traditionnelle !,2023-02-05
2022-02-16,"51, boulevard de Jean 97679 Sainte Valérieboeuf",7713721906,4,Superbe raclette traditionnelle !,2022-02-16
2022-02-16,"51, boulevard de Jean 97679 Sainte Valérieboeuf",9897251354,5,Superbe raclette traditionnelle !,2022-02-18
2022-11-24,rue de Mendès 47183 Pereznec,4265234916,5,Superbe raclette traditionnelle !,2022-11-24
2022-11-24,rue de Mendès 47183 Pereznec,9128571774,5,Superbe raclette traditionnelle !,2022-11-24
2022-11-24,rue de Mendès 47183 Pereznec,7104290310,5,Superbe raclette traditionnelle !,2022-11-26
2023-01-15,"27, rue Girard 17980 Lacombe-les-Bains",6273658800,5,Superbe raclette traditionnelle !,2023-01-16
2023-01-15,"27, rue Girard 17980 Lacombe-les-Bains",7939795567,4,Superbe raclette traditionnelle !,2023-01-16
2023-01-15,"27, rue Girard 17980 Lacombe-les-Bains",1664052278,4,Superbe raclette traditionnelle !,2023-01-15
2022-02-11,"943, avenue de Vallée 53176 Le Rouxboeuf",8228305635,5,Superbe raclette traditionnelle !,2022-02-11
2022-02-11,"943, avenue de Vallée 53176 Le Rouxboeuf",4157563686,5,Superbe raclette traditionnelle !,2022-02-13
2022-02-11,"943, avenue de Vallée 53176 Le Rouxboeuf",8964804648,4,Superbe raclette traditionnelle !,2022-02-13
2022-02-11,"943, avenue de Vallée 53176 Le Rouxboeuf",3306312489,4,Superbe raclette traditionnelle !,2022-02-11
2021-01-17,"55, chemin Denis Dufour 95266 Chartier",6473189064,4,Superbe raclette traditionnelle !,2021-01-17
2021-01-17,"55, chemin Denis Dufour 95266 Chartier",9994491929,4,Superbe raclette traditionnelle !,2021-01-18
2021-01-17,"55, chemin Denis Dufour 95266 Chartier",4766651412,5,Superbe raclette traditionnelle !,2021-01-18
2021-01-17,"55, chemin Denis Dufour 95266 Chartier",9084306864,5,Superbe raclette traditionnelle !,2021-01-17
2021-01-17,"55, chemin Denis Dufour 95266 Chartier",7284398676,4,Superbe raclette traditionnelle !,2021-01-17
2021-12-14,"83, rue Raymond Bourgeois 48520 Ollivier",8812220680,5,Superbe raclette traditionnelle !,2021-12-16
2021-12-14,"83, rue Raymond Bourgeois 48520 Ollivier",4558616019,5,Superbe raclette traditionnelle !,2021-12-14
2021-12-14,"83, rue Raymond Bourgeois 48520 Ollivier",9217530800,5,Superbe raclette traditionnelle !,2021-12-14
2021-12-14,"83, rue Raymond Bourgeois 48520 Ollivier",7754254653,5,Superbe raclette traditionnelle !,2021-12-16
2021-12-14,"83, rue Raymond Bourgeois 48520 Ollivier",2660626178,4,Superbe raclette traditionnelle !,2021-12-14
2024-01-25,"6, boulevard Dumont 10478 Pottier",4639686733,4,Superbe raclette traditionnelle !,2024-01-27
2024-01-25,"6, boulevard Dumont 10478 Pottier",9297462168,5,Superbe raclette traditionnelle !,2024-01-26
2024-01-25,"6, boulevard Dumont 10478 Pottier",4450046256,4,Superbe raclette traditionnelle !,2024-01-27
2024-01-25,"6, boulevard Dumont 10478 Pottier",7677239260,4,Superbe raclette traditionnelle !,2024-01-25
2023-05-03,boulevard de Ribeiro 90180 Ruiz-les-Bains,7415211339,5,Superbe raclette traditionnelle !,2023-05-04
2023-05-03,boulevard de Ribeiro 90180 Ruiz-les-Bains,8610331812,4,Superbe raclette traditionnelle !,2023-05-03
2023-05-03,boulevard de Ribeiro 90180 Ruiz-les-Bains,3259537363,4,Superbe raclette traditionnelle !,2023-05-05
2023-05-03,boulevard de Ribeiro 90180 Ruiz-les-Bains,4486772206,4,Superbe raclette traditionnelle !,2023-05-04
2023-05-03,boulevard de Ribeiro 90180 Ruiz-les-Bains,3400805887,4,Superbe raclette traditionnelle !,2023-05-04
2020-02-26,"1, boulevard Coste 89602 Delattre-sur-Raymond",2743010771,5,Superbe raclette traditionnelle !,2020-02-28
2020-02-26,"1, boulevard Coste 89602 Delattre-sur-Raymond",6309294227,5,Superbe raclette traditionnelle !,2020-02-27
2020-02-26,"1, boulevard Coste 89602 Delattre-sur-Raymond",6314443403,5,Superbe raclette traditionnelle !,2020-02-28
2021-09-01,"82, boulevard Lemoine 54413 Sainte Margotnec",3230490038,4,Superbe raclette traditionnelle !,2021-09-03
2021-09-01,"82, boulevard Lemoine 54413 Sainte Margotnec",8909070504,5,Superbe raclette traditionnelle !,2021-09-02
2021-09-01,"82, boulevard Lemoine 54413 Sainte Margotnec",2311606849,4,Superbe raclette traditionnelle !,2021-09-02
2021-09-01,"82, boulevard Lemoine 54413 Sainte Margotnec",5786229981,4,Superbe raclette traditionnelle !,2021-09-03
2022-08-14,"2, avenue Adèle Jean 20179 Sainte AndréeVille",5196735698,4,Superbe raclette traditionnelle !,2022-08-14
2022-08-14,"2, avenue Adèle Jean 20179 Sainte AndréeVille",4842819336,4,Superbe raclette traditionnelle !,2022-08-14
2022-08-14,"2, avenue Adèle Jean 20179 Sainte AndréeVille",9782188335,5,Superbe raclette traditionnelle !,2022-08-15
2022-08-14,"2, avenue Adèle Jean 20179 Sainte AndréeVille",6470885354,4,Superbe raclette traditionnelle !,2022-08-15
2022-12-04,"435, boulevard Frédéric Texier 56186 Saint Victorn",4287180409,5,Superbe raclette traditionnelle !,2022-12-04
2022-12-04,"435, boulevard Frédéric Texier 56186 Saint Victorn",9512200205,5,Superbe raclette traditionnelle !,2022-12-06
2022-12-04,"435, boulevard Frédéric Texier 56186 Saint Victorn",3422474121,4,Superbe raclette traditionnelle !,2022-12-06
2022-12-04,"435, boulevard Frédéric Texier 56186 Saint Victorn",4616409153,5,Superbe raclette traditionnelle !,2022-12-04
2022-12-04,"435, boulevard Frédéric Texier 56186 Saint Victorn",3576858726,4,Superbe raclette traditionnelle !,2022-12-06
2021-06-05,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",3684863214,4,Superbe raclette traditionnelle !,2021-06-07
2021-06-05,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",9494100856,4,Superbe raclette traditionnelle !,2021-06-05
2021-06-05,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",1914033702,4,Superbe raclette traditionnelle !,2021-06-06
2021-12-07,"87, chemin de Lemaire 48306 Saint Valérienec",6492575342,4,Superbe raclette traditionnelle !,2021-12-09
2021-12-07,"87, chemin de Lemaire 48306 Saint Valérienec",7270690864,5,Superbe raclette traditionnelle !,2021-12-07
2021-12-07,"87, chemin de Lemaire 48306 Saint Valérienec",7964039705,4,Superbe raclette traditionnelle !,2021-12-07
2021-12-07,"87, chemin de Lemaire 48306 Saint Valérienec",8831552667,5,Superbe raclette traditionnelle !,2021-12-09
