SIRET,idGroupe,RFID,nomCroyance
23421169317648,7713134262,8406395333,Anti-légume
70263465761771,2945965350,1389319585,Anti-ananas-sur-raclette
36788219232010,2447515723,4865515440,Anti-légume
32248510419942,9252043601,9711892692,Anti-légume
48760293112824,2829168963,6561918009,Anti-légume
49917554883966,3794479229,7720683615,Anti-légume
49391417241429,3498683433,6029741010,Anti-légume
23421169317648,7713134262,7088463393,Anti-ananas-sur-raclette
35937003762553,8876413213,5283078697,Anti-légume
69511036882363,2557438769,4767364429,Anti-légume
14548937752788,3462875358,4787087694,Anti-légume
98329158407802,8970764836,6038831760,Anti-légume
35937003762553,8358901571,9271678192,Anti-légume
90456978427461,2369643785,7733340582,Anti-ananas-sur-raclette
89515745207186,4946804105,3096297919,Anti-ananas-sur-raclette
89515745207186,5664845352,6847985127,Anti-ananas-sur-raclette
83907434907681,9483825704,9008480980,Anti-légume
00525055521081,3706917257,9086261172,Anti-légume
35937003762553,8876413213,9057668892,Anti-ananas-sur-raclette
84377770359465,9596329928,6825875378,Anti-légume
53060616902393,2954742847,7559537499,Anti-légume
84747849229230,2548185245,1653483751,Anti-légume
00525055521081,3706917257,9758522899,Anti-légume
37712325010813,3487627735,5914772438,Anti-ananas-sur-raclette
79319466934413,7935233743,2607205623,Anti-ananas-sur-raclette
69511036882363,2557438769,4246835423,Anti-légume
79319466934413,7935233743,2034159859,Anti-légume
64026792801221,4215140589,7849592076,Anti-ananas-sur-raclette
51702503153255,1083144912,3365952789,Anti-ananas-sur-raclette
00525055521081,3706917257,6078962901,Anti-légume
06993304653729,5366105887,8292818732,Anti-légume
83907434907681,9483825704,2216047009,Anti-légume
03791523220638,8965668535,7451383493,Anti-ananas-sur-raclette
06993304653729,5366105887,4352547675,Anti-légume
66605720133153,9049066537,9332534280,Anti-ananas-sur-raclette
35937003762553,8358901571,1693823249,Anti-ananas-sur-raclette
64026792801221,4215140589,7526726739,Anti-légume
23421169317648,7713134262,7172716159,Anti-légume
98183300737893,7970714119,6037400126,Anti-légume
29007121912554,3038314745,2285182842,Anti-légume
80903770168495,8659756853,6068989193,Anti-ananas-sur-raclette
84377770359465,9596329928,3518469163,Anti-légume
11514703785093,8283391142,2689733690,Anti-ananas-sur-raclette
64026792801221,4215140589,1776115958,Anti-ananas-sur-raclette
61145436460441,5622045506,6908065940,Anti-ananas-sur-raclette
23421169317648,7713134262,8637565868,Anti-légume
98183300737893,7970714119,4341147090,Anti-ananas-sur-raclette
64717768616115,7919556033,8942539588,Anti-ananas-sur-raclette
36788219232010,2447515723,8973685974,Anti-légume
35937003762553,8876413213,4925567106,Anti-ananas-sur-raclette
98329158407802,8970764836,7442184073,Anti-légume
79319466934413,8236279818,1163075171,Anti-légume
92578022077836,6774919538,3386786461,Anti-légume
23421169317648,7713134262,5385126974,Anti-légume
29007121912554,3038314745,1440528030,Anti-légume
64026792801221,4215140589,2699792339,Anti-légume
80903770168495,8659756853,7007503750,Anti-ananas-sur-raclette
37712325010813,3487627735,4062521212,Anti-ananas-sur-raclette
57003007362412,2020403668,3389200182,Anti-ananas-sur-raclette
48760293112824,2829168963,7448407488,Anti-ananas-sur-raclette
13484140289071,7382270602,8628527570,Anti-ananas-sur-raclette
32248510419942,2587949349,3421984289,Anti-ananas-sur-raclette
14548937752788,3462875358,6575944916,Anti-légume
81167159265939,7999060766,3400784842,Anti-légume
03791523220638,8965668535,4510236401,Anti-légume
03791523220638,8965668535,5442387968,Anti-légume
37712325010813,3487627735,4569969000,Anti-légume
89515745207186,5664845352,7401750453,Anti-légume
23421169317648,7713134262,3024568160,Anti-ananas-sur-raclette
11514703785093,8283391142,7964504975,Anti-ananas-sur-raclette
70263465761771,2945965350,9866794435,Anti-légume
13484140289071,7382270602,2544893155,Anti-ananas-sur-raclette
46800968940449,7967163462,8049849409,Anti-légume
53060616902393,2954742847,1259606584,Anti-légume
80903770168495,8659756853,6314443403,Anti-ananas-sur-raclette
23421169317648,7713134262,1103175515,Anti-ananas-sur-raclette
55092167093295,6793816076,8436879051,Anti-légume
22389614872404,4437557565,9617664955,Anti-ananas-sur-raclette
00525055521081,3706917257,4092848593,Anti-ananas-sur-raclette
03363878717889,8654757824,1192513028,Anti-ananas-sur-raclette
41060060164448,5480431818,4362543497,Anti-ananas-sur-raclette
13484140289071,7382270602,2517748068,Anti-ananas-sur-raclette
30426192025617,6050453215,9379288842,Anti-légume
66605720133153,9049066537,2999079194,Anti-légume
35937003762553,8876413213,3061803526,Anti-ananas-sur-raclette
06993304653729,5366105887,2055225045,Anti-légume
00525055521081,3706917257,4027299417,Anti-ananas-sur-raclette
98183300737893,7970714119,1385190764,Anti-ananas-sur-raclette
66605720133153,9049066537,3486663040,Anti-légume
83876695122502,8054020172,3207199790,Anti-ananas-sur-raclette
64717768616115,7919556033,1348449471,Anti-légume
35937003762553,8030289257,1017168544,Anti-ananas-sur-raclette
51702503153255,8968339833,5642797767,Anti-ananas-sur-raclette
84377770359465,9596329928,6360580044,Anti-ananas-sur-raclette
80723535542121,1214418842,3553986957,Anti-ananas-sur-raclette
64717768616115,7919556033,9462487423,Anti-légume
89515745207186,5664845352,9087696949,Anti-ananas-sur-raclette
89515745207186,4946804105,7760161173,Anti-légume
92578022077836,3392728242,7082425639,Anti-légume
55627527881308,6356963178,5623597722,Anti-ananas-sur-raclette
50318444534242,1177570259,7051831076,Anti-légume
35937003762553,8876413213,9728313353,Anti-ananas-sur-raclette
49391417241429,3498683433,3197424567,Anti-légume
35937003762553,8876413213,8378650824,Anti-légume
32248510419942,2587949349,6806072104,Anti-légume
05466078207131,7459875960,2854029627,Anti-légume
64026792801221,4215140589,6022840077,Anti-légume
23421169317648,3322968243,6533333713,Anti-ananas-sur-raclette
36788219232010,2447515723,7429755259,Anti-ananas-sur-raclette
66605720133153,9049066537,8080283947,Anti-ananas-sur-raclette
53060616902393,2954742847,7422874857,Anti-légume
49391417241429,3498683433,3749769383,Anti-légume
03363878717889,8654757824,9444777965,Anti-légume
00525055521081,3706917257,7703539006,Anti-ananas-sur-raclette
49391417241429,3498683433,8343171702,Anti-légume
38934376101739,3030842343,7671471721,Anti-ananas-sur-raclette
03363878717889,8654757824,2228217803,Anti-ananas-sur-raclette
89515745207186,5664845352,8598323209,Anti-ananas-sur-raclette
49391417241429,3498683433,1997407169,Anti-légume
70263465761771,2945965350,7497125796,Anti-ananas-sur-raclette
06993304653729,5366105887,9274809889,Anti-légume
79319466934413,8236279818,6406760627,Anti-ananas-sur-raclette
92578022077836,6774919538,1256126926,Anti-ananas-sur-raclette
90456978427461,2369643785,5558459351,Anti-ananas-sur-raclette
31600246537342,1231672681,1218433915,Anti-légume
53749997792491,4131911466,9323413098,Anti-ananas-sur-raclette
51702503153255,8968339833,3858436771,Anti-ananas-sur-raclette
38934376101739,3030842343,2317672949,Anti-ananas-sur-raclette
58903816331381,9072452886,9727257072,Anti-légume
31600246537342,1231672681,8010038433,Anti-légume
41060060164448,5480431818,9050126948,Anti-légume
57003007362412,2020403668,2613190617,Anti-ananas-sur-raclette
55092167093295,6793816076,5887704375,Anti-légume
61145436460441,5622045506,7768134525,Anti-légume
31600246537342,1231672681,8980142873,Anti-ananas-sur-raclette
53060616902393,2954742847,8590160161,Anti-légume
92578022077836,6774919538,8757698430,Anti-légume
49917554883966,3794479229,6381473342,Anti-ananas-sur-raclette
37712325010813,3487627735,7900093637,Anti-ananas-sur-raclette
23421169317648,3322968243,1353756081,Anti-légume
44112288376085,3431295653,3979506061,Anti-légume
79319466934413,8236279818,7119132285,Anti-ananas-sur-raclette
81167159265939,7999060766,5348423691,Anti-ananas-sur-raclette
05466078207131,7459875960,8382760359,Anti-légume
50318444534242,1177570259,3952299201,Anti-légume
53060616902393,2954742847,3334785333,Anti-légume
90456978427461,2369643785,4553739324,Anti-ananas-sur-raclette
49391417241429,4551123954,8706069603,Anti-ananas-sur-raclette
32248510419942,2587949349,2715232027,Anti-légume
49391417241429,3498683433,3629841525,Anti-ananas-sur-raclette
03791523220638,8965668535,8869801581,Anti-ananas-sur-raclette
80723535542121,1214418842,9652806941,Anti-légume
36788219232010,2447515723,4616409153,Anti-ananas-sur-raclette
28088992559814,6723047732,5243310444,Anti-ananas-sur-raclette
14548937752788,3462875358,7659968494,Anti-légume
37712325010813,3487627735,8641866873,Anti-ananas-sur-raclette
36788219232010,5735019659,4765747480,Anti-légume
64717768616115,7919556033,9517353409,Anti-ananas-sur-raclette
35937003762553,8030289257,6315686676,Anti-légume
98183300737893,7970714119,9467742124,Anti-ananas-sur-raclette
90456978427461,2369643785,9825588801,Anti-légume
70263465761771,2945965350,1041341546,Anti-ananas-sur-raclette
06993304653729,5366105887,4440126871,Anti-ananas-sur-raclette
14548937752788,3462875358,8837975515,Anti-légume
48760293112824,2829168963,5126821688,Anti-légume
80723535542121,1214418842,7639625982,Anti-ananas-sur-raclette
84747849229230,2548185245,5112802812,Anti-légume
36788219232010,2447515723,6980760706,Anti-légume
61145436460441,5622045506,9551888705,Anti-légume
90456978427461,2369643785,9975798175,Anti-légume
03791523220638,8965668535,2897857334,Anti-légume
81167159265939,7999060766,5849501804,Anti-ananas-sur-raclette
03363878717889,8654757824,1783529398,Anti-légume
84747849229230,2548185245,3831523615,Anti-légume
97619788371160,8894037471,8881918081,Anti-ananas-sur-raclette
80723535542121,1214418842,5607821641,Anti-légume
66605720133153,9049066537,3678220938,Anti-ananas-sur-raclette
37712325010813,3487627735,9813996672,Anti-ananas-sur-raclette
63950133687266,3538927591,6421592581,Anti-ananas-sur-raclette
31600246537342,1231672681,3821353283,Anti-ananas-sur-raclette
83876695122502,8054020172,3606370980,Anti-légume
24818656352324,4261260447,6850606922,Anti-ananas-sur-raclette
06993304653729,5366105887,8238414664,Anti-ananas-sur-raclette
81167159265939,7999060766,2734834488,Anti-légume
51702503153255,1083144912,6253229945,Anti-ananas-sur-raclette
29007121912554,3038314745,3845520134,Anti-ananas-sur-raclette
90456978427461,2369643785,4290139267,Anti-ananas-sur-raclette
58903816331381,9072452886,8762147084,Anti-légume
41060060164448,5480431818,2727523651,Anti-légume
11514703785093,8283391142,6208662393,Anti-légume
22389614872404,4437557565,9484599063,Anti-ananas-sur-raclette
64026792801221,4215140589,8735201428,Anti-ananas-sur-raclette
22389614872404,4437557565,9063771946,Anti-ananas-sur-raclette
92578022077836,3392728242,9087328450,Anti-légume
11514703785093,8283391142,6159182795,Anti-légume
70263465761771,2945965350,8950275079,Anti-légume
98329158407802,8970764836,1180487720,Anti-légume
03791523220638,8965668535,5108951109,Anti-légume
49391417241429,4551123954,8719879085,Anti-ananas-sur-raclette
66605720133153,9049066537,5501168085,Anti-légume
92578022077836,3392728242,8965678675,Anti-ananas-sur-raclette
32248510419942,2587949349,4339162453,Anti-ananas-sur-raclette
36788219232010,5735019659,8805378104,Anti-ananas-sur-raclette
48760293112824,2829168963,9367294275,Anti-légume
44112288376085,3431295653,7680238761,Anti-légume
53749997792491,4131911466,3031742578,Anti-légume
49391417241429,4551123954,6195570886,Anti-légume
98183300737893,7970714119,9714591844,Anti-légume
49917554883966,3794479229,8244235096,Anti-légume
13484140289071,7382270602,6635620524,Anti-ananas-sur-raclette
05466078207131,7459875960,3800364329,Anti-ananas-sur-raclette
79317073641194,1291576549,1431743928,Anti-légume
06993304653729,5366105887,9940365779,Anti-ananas-sur-raclette
24818656352324,4261260447,7400804922,Anti-légume
36788219232010,5735019659,4308195281,Anti-légume
35937003762553,8358901571,7203787632,Anti-ananas-sur-raclette
49391417241429,4551123954,5732858521,Anti-ananas-sur-raclette
06993304653729,5366105887,6086117670,Anti-légume
80903770168495,8659756853,4749761769,Anti-ananas-sur-raclette
31600246537342,1231672681,1463687784,Anti-ananas-sur-raclette
80723535542121,1214418842,7091799752,Anti-légume
49917554883966,3794479229,5356924206,Anti-légume
80903770168495,8659756853,7092185376,Anti-légume
90456978427461,2369643785,2731296967,Anti-ananas-sur-raclette
81167159265939,7999060766,8805558586,Anti-légume
32248510419942,2587949349,6733796577,Anti-ananas-sur-raclette
49391417241429,4551123954,6283525246,Anti-légume
51258572017295,2740300555,1833425212,Anti-légume
92578022077836,6774919538,2001808360,Anti-ananas-sur-raclette
23421169317648,7713134262,3282084495,Anti-ananas-sur-raclette
14548937752788,3462875358,7467988025,Anti-ananas-sur-raclette
14548937752788,3462875358,3723073484,Anti-ananas-sur-raclette
13484140289071,7382270602,7034438558,Anti-ananas-sur-raclette
98329158407802,8970764836,3909281008,Anti-légume
23421169317648,3322968243,1320234829,Anti-légume
03363878717889,8654757824,6052325052,Anti-ananas-sur-raclette
36788219232010,5735019659,4104224088,Anti-légume
55092167093295,6793816076,8925514993,Anti-ananas-sur-raclette
53749997792491,4131911466,5699428260,Anti-ananas-sur-raclette
06993304653729,5366105887,8209690041,Anti-légume
50318444534242,1177570259,5242569962,Anti-ananas-sur-raclette
55627527881308,6356963178,5069998516,Anti-ananas-sur-raclette
53060616902393,2954742847,1747821909,Anti-légume
36788219232010,2447515723,6639465172,Anti-ananas-sur-raclette
83876695122502,8054020172,8564700051,Anti-ananas-sur-raclette
41060060164448,5480431818,9296899493,Anti-ananas-sur-raclette
90456978427461,2369643785,2918591203,Anti-légume
