idPlat,nomAliment
6619241591,Rayon
6917749046,Appel
9799489308,Courgette
8057609527,Myrtille
4385696112,Champignon
5110757322,Poste
1083462803,Poisson
7595306341,Triste
2323924955,Troisième
1038743491,Occuper
5987148389,Combat
9994976677,Poire
8057609527,Avocat
4799794687,Boire
9986953762,Myrtille
7764534831,Chou-fleur
5660011343,Poste
5987148389,Certain
4799794687,Devoir
1152691196,Lequel
1038743491,Cinquante
1175797587,Certain
4857303537,Myrtille
7554316743,Chou-fleur
1083462803,Cela
5618860986,Cinquante
7649795732,Hauteur
3892727500,Chou-fleur
6619241591,Dent
1119696326,Lequel
3892727500,Cher
3464135256,Poste
2197875385,Poisson
9535519519,Certain
2513051733,Intérêt
3519947834,Donner
8995836738,Hauteur
4918855533,Donner
3892727500,Ail
2371200334,Fromage à raclette
8322732394,Sûr
1083462803,Renverser
2323924955,Renverser
6899468837,Avocat
5660011343,Général
6491674055,Général
2951947567,Poisson
8108805430,Radis
3146814931,Général
6055969166,Acheter
5618860986,Donner
2438598449,Comprendre
9027227699,Renverser
1152691196,Dent
1175797587,Troisième
6619241591,Fromage à raclette
7546078620,Kiwi
2951947567,Rayon
4618128366,Boire
4918855533,Triste
3519947834,Kiwi
1038743491,Avocat
2046483417,Myrtille
2160317889,Général
8057609527,Lutter
2197875385,Rejoindre
5027351900,Kiwi
1119696326,Dent
6505112710,Hauteur
2323924955,Fromage à raclette
3773658567,Cher
2323924955,Mari
6917749046,Courgette
4928939414,Chou-fleur
4618128366,Myrtille
8322732394,Cher
8165625129,Aventure
8183225775,Jambon cru
2371200334,Lentilles
8322732394,Ail
1234462093,Lutter
7741840097,Intérêt
1146819714,Général
1083462803,Campagne
1781608790,Certain
1146819714,L'une
9027227699,Fumer
8183225775,Général
8128288521,Avocat
8108805430,Entourer
6055969166,Fromage à raclette
3548052853,Renverser
6055969166,Mari
6619241591,Lentilles
3480239684,Affirmer
2371200334,Avocat
1119696326,Mari
7661915254,Dent
4236363426,Jambon cru
1995235102,Boire
1633529622,Ail
6055969166,Cinquante
5360189686,Poire
8400559440,Combat
1119696326,Cinquante
2323924955,Donner
1083462803,Lentilles
1834006314,Général
1834006314,L'une
2197875385,Cinquante
2862606210,Radis
5360189686,Le
9397758577,Betterave
8183225775,Le
3859270303,Cela
8183225775,Courgette
5764702555,Masse
1733579277,Poste
1152691196,Donner
4398541482,Poire
3859270303,Acheter
5693628988,Boire
7595306341,Radis
7661915254,Occuper
4385696112,Boire
7661915254,Fromage à raclette
7773615955,Masse
3548052853,Cinquante
3464135256,Champignon
1834006314,Courgette
4385696112,Devoir
7595306341,Général
7554316743,Rayon
7661915254,Cinquante
7595306341,L'une
9027227699,Triste
2197875385,Donner
3892727500,Lequel
7764534831,Cela
8995836738,Myrtille
7773615955,Renverser
7595306341,Dresser
1733579277,Jambon cru
7661915254,Campagne
1234462093,Jambon cru
1733579277,Radis
9676603735,Appel
4065785092,Intérêt
7741840097,Le
7834906143,Boire
8057609527,Dresser
2572799101,Cher
5027351900,Sûr
1119696326,Triste
6917749046,Hauteur
2371200334,Lutter
2951947567,Lentilles
6080122281,Appel
2197875385,Triste
7764534831,Dent
2438598449,Boire
5977369836,Poisson
7554316743,Masse
7841576169,Sûr
3892727500,Acheter
7773615955,Occuper
1175797587,Donner
3485556538,Général
8108805430,Hauteur
2046483417,Intérêt
2438598449,Devoir
3892727500,Masse
1152691196,Intéresser
2323924955,Affirmer
3519947834,Chou-fleur
5962408522,Sûr
3480239684,Cher
1668009813,Cinquante
7773615955,Fumer
5789405435,Ail
4918855533,Cher
4236363426,Champignon
1733579277,Courgette
7546078620,Betterave
3892727500,Renverser
4799794687,Poire
5977369836,Cela
9986953762,Entourer
7741840097,Champignon
5618860986,Chou-fleur
4857303537,Courgette
7764534831,Mari
5764702555,Lentilles
9676603735,Général
7764534831,Cinquante
1038743491,Général
6080122281,Jambon cru
4065785092,Poire
6080122281,Radis
7554316743,Fromage à raclette
5962408522,Chou-fleur
4903673137,Poire
4928939414,Cela
8057609527,Champignon
7741840097,Comprendre
5764702555,Avocat
4928939414,Acheter
4385696112,Kiwi
4814350155,Myrtille
3892727500,Cinquante
1175797587,Intéresser
9397758577,Lequel
8763640282,Myrtille
4928939414,Rejoindre
1733579277,Champignon
2371200334,Jambon cru
4236363426,Certain
3773658567,Renverser
3892727500,Campagne
8763640282,Avocat
8128288521,L'une
1972817438,Certain
8400559440,Mari
7741840097,Certain
2356930686,Comprendre
7649795732,Intérêt
1038743491,Entourer
5796896259,Avocat
2046483417,Le
5977369836,Fromage à raclette
1781608790,Donner
2371200334,L'une
9027227699,Poste
6619241591,Radis
2018077063,Troisième
4394279237,Renverser
4385696112,Intéresser
8128288521,Poire
3146814931,Boire
4857303537,Aventure
2323924955,Chou-fleur
7661915254,Lutter
2197875385,Appel
3773658567,Fromage à raclette
5977369836,Campagne
6619241591,Général
9397758577,Rejoindre
9799489308,Lutter
9986953762,Combat
6055969166,Poste
4799794687,Comprendre
4385696112,Affirmer
4928939414,Occuper
2356930686,Certain
4928939414,Fromage à raclette
9193320022,Cela
6491674055,Myrtille
2951947567,Appel
4394279237,Occuper
1733579277,Hauteur
6899468837,Aventure
4394279237,Fromage à raclette
2371200334,Entourer
6491674055,Avocat
4618128366,Betterave
3464135256,Devoir
5764702555,Lutter
3644016111,Sûr
4394279237,Fumer
4799794687,Certain
5987148389,Poire
9193320022,Renverser
9027227699,Général
5789405435,Poisson
1038743491,Aventure
1119696326,Ail
9027227699,Dresser
6619241591,Entourer
1633529622,Cinquante
4903673137,Combat
2018077063,Renverser
3773658567,Lentilles
7773615955,Lutter
2572799101,Masse
6899468837,Certain
5360189686,Devoir
8183225775,Devoir
5977369836,Triste
1972817438,Cela
2046483417,Comprendre
9397758577,Cinquante
2197875385,Général
9027227699,Courgette
9193320022,Occuper
9193320022,Mari
9676603735,Hauteur
3548052853,Radis
4394279237,Lentilles
3773658567,Avocat
7841576169,Poisson
4236363426,Boire
9994976677,Affirmer
7661915254,Jambon cru
5789405435,Masse
4918855533,Acheter
1995235102,Betterave
4799794687,Troisième
1972817438,Dent
4918855533,Masse
3548052853,L'une
1834006314,Myrtille
3859270303,Poste
4799869690,Lequel
5789405435,Renverser
3548052853,Dresser
9397758577,Donner
8763640282,Intérêt
7834906143,Poire
9397758577,Lentilles
3519947834,Renverser
2572799101,Fromage à raclette
7661915254,Dresser
5796896259,Intérêt
8400559440,Affirmer
6417594223,Avocat
8995836738,Betterave
5618860986,Masse
8057609527,Boire
4385696112,Ail
3859270303,Chou-fleur
3548052853,Courgette
9397758577,Triste
7661915254,Courgette
1668009813,Jambon cru
1733579277,Boire
3464135256,Kiwi
7773615955,Jambon cru
6742630739,Lequel
3480239684,Fromage à raclette
2018077063,Donner
4918855533,Fromage à raclette
7554316743,Intérêt
4065785092,Cela
7554316743,Poste
5027351900,Occuper
7546078620,Cinquante
9193320022,Triste
4398541482,Donner
6491674055,Intérêt
7773615955,Général
3519947834,Cinquante
3859270303,Dresser
3146814931,Intérêt
8995836738,Comprendre
3773658567,Lutter
5360189686,Kiwi
5764702555,Courgette
5027351900,Fumer
8165625129,Le
1152691196,Rayon
5027351900,Cinquante
4814350155,Poire
8995836738,Combat
9994976677,Chou-fleur
9027227699,Hauteur
9397758577,Affirmer
4799869690,Fromage à raclette
8995836738,Certain
5989651783,Troisième
4903673137,Devoir
9676603735,Boire
5977369836,Poste
7846259436,Betterave
1152691196,Acheter
5796896259,Le
5110757322,Dresser
4928939414,Appel
8165625129,Betterave
4799869690,Cinquante
5989651783,Rayon
5360189686,Intéresser
7661915254,Aventure
9676603735,Myrtille
7546078620,Triste
