dateReunion,adresse,idRepas
2020-01-12,"23, boulevard Patrick Boulanger 22560 Sainte Margo",3795733495
2021-02-22,"27, rue Girard 17980 Lacombe-les-Bains",2467117348
2021-12-22,"38, chemin Julien 15846 Peron-sur-Grenier",1079519294
2023-02-26,"8, chemin Fernandez 47926 Henry-les-Bains",2053671054
2020-01-18,"12, chemin Letellier 83914 Jacquet",3238507398
2022-12-18,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",4793140050
2022-01-08,"1, boulevard Coste 89602 Delattre-sur-Raymond",9296871511
2023-12-14,"28, rue Rodrigues 95203 Gilbert",9816731658
2025-11-29,"18, avenue Descamps 62353 Saint Margaux",9226452068
2021-01-31,"79, chemin de Thibault 97228 Mahe",4583404796
2021-07-14,"92, rue de Gaillard 02327 ReyBourg",2467117348
2024-02-13,"18, avenue Descamps 62353 Saint Margaux",7505512341
2021-03-31,"20, chemin de Pineau 26928 Fernandez",6522548736
2022-02-27,"20, chemin de Pineau 26928 Fernandez",1673624259
2020-01-24,"61, boulevard de Blanc 67736 Sainte Simonenec",7610399927
2024-01-15,"82, boulevard Lemoine 54413 Sainte Margotnec",4823654673
2024-02-25,"20, chemin de Pineau 26928 Fernandez",9775284386
2023-02-03,"690, boulevard Constance Martinez 69634 Lucas",5620908988
2022-02-16,"51, boulevard de Jean 97679 Sainte Valérieboeuf",6258285716
2022-11-24,rue de Mendès 47183 Pereznec,6274822489
2023-01-15,"27, rue Girard 17980 Lacombe-les-Bains",2826173895
2022-02-11,"943, avenue de Vallée 53176 Le Rouxboeuf",2826173895
2021-01-17,"55, chemin Denis Dufour 95266 Chartier",3247559299
2021-12-14,"83, rue Raymond Bourgeois 48520 Ollivier",6039767575
2024-01-25,"6, boulevard Dumont 10478 Pottier",8887217737
2023-05-03,boulevard de Ribeiro 90180 Ruiz-les-Bains,3180759815
2020-02-26,"1, boulevard Coste 89602 Delattre-sur-Raymond",3176559923
2021-09-01,"82, boulevard Lemoine 54413 Sainte Margotnec",1378229551
2022-08-14,"2, avenue Adèle Jean 20179 Sainte AndréeVille",7033884575
2022-12-04,"435, boulevard Frédéric Texier 56186 Saint Victorn",3566120851
2021-06-05,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",7855904851
2021-12-07,"87, chemin de Lemaire 48306 Saint Valérienec",5213702416
2020-02-12,"59, boulevard de Vallet 67649 Perrotboeuf",2417383063
2024-01-25,"1, boulevard Coste 89602 Delattre-sur-Raymond",8359085723
2021-01-13,"13, rue Ferreira 75434 Legendre-sur-Mer",9036253359
2023-01-01,"8, chemin Fernandez 47926 Henry-les-Bains",7889246495
2020-11-05,"8, chemin Fernandez 47926 Henry-les-Bains",8152324423
2021-12-07,"27, rue Girard 17980 Lacombe-les-Bains",2368606894
2022-12-20,"8, rue Dumas 32441 David",6997039885
2021-01-29,"38, chemin Julien 15846 Peron-sur-Grenier",2195443312
2026-03-11,"55, chemin Denis Dufour 95266 Chartier",3180759815
2022-01-05,"51, boulevard de Jean 97679 Sainte Valérieboeuf",1436002599
2020-10-20,"87, chemin de Lemaire 48306 Saint Valérienec",3769263128
2020-05-05,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",6274822489
2023-01-16,"2, avenue de Raynaud 39343 Jourdan",1730111678
2020-10-21,"1, boulevard Coste 89602 Delattre-sur-Raymond",8102096044
2024-01-18,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",6145055196
2021-06-10,"38, chemin Julien 15846 Peron-sur-Grenier",9388200961
2020-12-24,"51, boulevard de Jean 97679 Sainte Valérieboeuf",2467117348
2024-02-23,"61, boulevard de Blanc 67736 Sainte Simonenec",5611858551
2020-08-04,rue De Sousa 82879 Roche,5646027845
2023-09-10,"11, avenue Carlier 57944 Legrand",2826173895
2024-07-09,"8, chemin Fernandez 47926 Henry-les-Bains",5278539026
2021-12-04,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",3005393867
2024-02-05,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",7130767146
2022-01-01,rue de Mendès 47183 Pereznec,3005393867
2023-10-21,chemin de Faivre 97611 Saint Alfred-sur-Mer,5278539026
2022-03-03,"83, rue Charles Diallo 71417 MaréchalVille",1182563319
2022-02-14,"13, rue Ferreira 75434 Legendre-sur-Mer",3769263128
2023-09-19,"12, chemin Letellier 83914 Jacquet",2659218649
2023-01-12,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",6223081964
2022-06-24,rue de Tanguy 44327 Sainte Antoine,1936316918
2022-01-30,"82, boulevard Lemoine 54413 Sainte Margotnec",1247763124
2020-01-20,"8, chemin Fernandez 47926 Henry-les-Bains",7494527871
2024-02-11,"29, chemin de Maréchal 31762 Pascal-sur-Joly",3777425119
2023-07-14,"38, chemin Julien 15846 Peron-sur-Grenier",3409098809
2020-11-09,"8, boulevard de Weiss 12784 Saint Luc",2582535917
2020-12-10,"6, boulevard Dumont 10478 Pottier",1182563319
2025-08-02,"38, chemin Julien 15846 Peron-sur-Grenier",2975809098
2026-02-14,"38, chemin Julien 15846 Peron-sur-Grenier",4962294046
2021-02-07,"435, boulevard Frédéric Texier 56186 Saint Victorn",5591856964
2022-07-24,"29, chemin de Maréchal 31762 Pascal-sur-Joly",9816731658
2021-01-15,"11, avenue Carlier 57944 Legrand",8249154777
2021-08-19,"2, avenue de Raynaud 39343 Jourdan",6258285716
2023-01-24,"87, chemin de Lemaire 48306 Saint Valérienec",4202068271
2023-09-23,"23, boulevard Patrick Boulanger 22560 Sainte Margo",5280213416
2021-12-12,"6, boulevard Dumont 10478 Pottier",3176559923
2022-01-12,"435, boulevard Frédéric Texier 56186 Saint Victorn",2638384530
2023-08-17,rue De Sousa 82879 Roche,9584294661
2024-01-13,"42, rue Delattre 30953 Vallée",7130767146
2020-04-22,"15, chemin de Durand 75909 Moreau",2417383063
2023-01-14,"20, chemin de Pineau 26928 Fernandez",2826173895
2024-01-23,"55, chemin Denis Dufour 95266 Chartier",7855904851
2022-01-16,rue de Tanguy 44327 Sainte Antoine,5591856964
2026-01-26,"28, rue Rodrigues 95203 Gilbert",1920222166
2022-01-25,"8, chemin Fernandez 47926 Henry-les-Bains",5039442422
2021-02-12,"28, rue Rodrigues 95203 Gilbert",7657538937
2024-01-19,"18, avenue Descamps 62353 Saint Margaux",1281803745
2023-01-04,"27, rue Girard 17980 Lacombe-les-Bains",7423679684
2023-02-08,rue de Mendès 47183 Pereznec,3029896198
2023-02-08,avenue Gilles 06756 Petit,1920222166
2020-05-12,"23, boulevard Patrick Boulanger 22560 Sainte Margo",3005393867
2021-02-08,"943, avenue de Vallée 53176 Le Rouxboeuf",5643697151
2024-03-03,"87, chemin de Lemaire 48306 Saint Valérienec",6852238187
2021-02-17,"29, chemin de Maréchal 31762 Pascal-sur-Joly",8487821390
2023-04-25,"943, avenue de Vallée 53176 Le Rouxboeuf",8927419432
2023-12-31,"24, rue Robert 75624 Benoit-sur-Aubert",2373044999
2020-01-30,"75, avenue de Michel 81614 Meunierdan",5278539026
2022-12-04,"69, chemin Le Goff 62402 Saint David",9492371465
2020-01-29,"9, avenue Bertrand Pons 15496 Lefort-sur-Hebert",9296871511
2020-12-13,"6, boulevard Dumont 10478 Pottier",4662634394
2022-07-17,"8, boulevard de Weiss 12784 Saint Luc",7190638023
2025-05-01,rue de Mendès 47183 Pereznec,8148827346
2022-04-17,"42, rue Delattre 30953 Vallée",5643697151
2023-02-02,"87, boulevard Élise Schmitt 45371 Sainte Diane",1486061590
2022-01-03,"24, rue Robert 75624 Benoit-sur-Aubert",4793140050
2025-04-08,"18, avenue Descamps 62353 Saint Margaux",7505512341
2022-05-29,"8, chemin Fernandez 47926 Henry-les-Bains",6522548736
2020-01-10,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",7652110898
2021-11-07,"8, chemin Fernandez 47926 Henry-les-Bains",6756762858
2023-05-10,"61, boulevard de Blanc 67736 Sainte Simonenec",9036253359
2022-02-07,"943, avenue de Vallée 53176 Le Rouxboeuf",4962294046
2023-05-04,"690, boulevard Constance Martinez 69634 Lucas",9562240268
2023-09-02,rue de Tanguy 44327 Sainte Antoine,2826173895
2021-02-07,"79, chemin de Thibault 97228 Mahe",1436002599
2023-02-24,"87, chemin de Lemaire 48306 Saint Valérienec",2395881420
2026-03-22,rue de Tanguy 44327 Sainte Antoine,9481488753
2024-02-15,"690, boulevard Constance Martinez 69634 Lucas",7057124365
2020-05-23,"23, boulevard Patrick Boulanger 22560 Sainte Margo",8992068545
2024-09-02,"79, chemin de Thibault 97228 Mahe",5168465376
2022-06-01,"51, boulevard de Jean 97679 Sainte Valérieboeuf",5646027845
2021-06-18,"2, avenue de Raynaud 39343 Jourdan",8356700860
2021-09-14,"79, chemin de Thibault 97228 Mahe",7015375564
2021-03-30,"42, rue Delattre 30953 Vallée",9946124751
2020-10-03,"690, boulevard Constance Martinez 69634 Lucas",9007637046
2022-02-11,"24, rue Robert 75624 Benoit-sur-Aubert",9388200961
2020-12-16,avenue Gilles 06756 Petit,5330764083
2022-02-17,"42, rue Delattre 30953 Vallée",2497038580
2022-01-30,"87, boulevard Élise Schmitt 45371 Sainte Diane",5719877351
2023-04-05,"8, boulevard de Weiss 12784 Saint Luc",3606806005
2021-04-27,"51, boulevard de Jean 97679 Sainte Valérieboeuf",3247559299
2023-12-30,"8, boulevard de Weiss 12784 Saint Luc",3310888204
2024-01-07,"51, boulevard de Jean 97679 Sainte Valérieboeuf",7494527871
2021-09-30,"435, boulevard Frédéric Texier 56186 Saint Victorn",3176559923
2022-12-18,"92, rue de Cousin 56814 Saint Adrienne",4823654673
2020-03-30,"87, boulevard Élise Schmitt 45371 Sainte Diane",2645305745
2020-03-14,"29, chemin de Maréchal 31762 Pascal-sur-Joly",9226452068
2023-03-03,"12, chemin Letellier 83914 Jacquet",2638384530
2024-01-08,"48, boulevard Muller 71270 Klein-sur-Mer",9331175119
2022-02-05,avenue Gilles 06756 Petit,1247763124
2020-10-13,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",6887348307
2023-01-30,rue de Tanguy 44327 Sainte Antoine,2884983029
2021-09-05,"9, avenue Bertrand Pons 15496 Lefort-sur-Hebert",3769263128
2021-02-12,"82, boulevard Lemoine 54413 Sainte Margotnec",6486467492
2020-01-27,"42, rue Delattre 30953 Vallée",7389581584
2020-02-11,"8, boulevard de Weiss 12784 Saint Luc",4805590261
2022-11-02,"38, chemin Julien 15846 Peron-sur-Grenier",2467117348
2025-04-18,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",1590741639
2021-04-06,boulevard de Ribeiro 90180 Ruiz-les-Bains,4031568901
2023-07-12,"6, boulevard Dumont 10478 Pottier",7033884575
2021-04-06,"20, chemin de Pineau 26928 Fernandez",5213702416
2024-02-22,"18, avenue Descamps 62353 Saint Margaux",5638284296
2020-09-11,rue de Tanguy 44327 Sainte Antoine,5278539026
2021-01-30,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",1079519294
2026-02-15,"2, avenue Adèle Jean 20179 Sainte AndréeVille",6179561231
2020-01-30,"28, rue Rodrigues 95203 Gilbert",5061867847
2023-03-17,"1, boulevard Coste 89602 Delattre-sur-Raymond",2700720507
2022-02-05,rue De Sousa 82879 Roche,1189575492
2023-03-29,"8, chemin Fernandez 47926 Henry-les-Bains",1453466485
2022-07-09,"42, rue Delattre 30953 Vallée",9226452068
2022-11-20,"83, rue Raymond Bourgeois 48520 Ollivier",8299141107
2020-02-19,"8, chemin Fernandez 47926 Henry-les-Bains",1409383544
2021-02-06,"27, rue Girard 17980 Lacombe-les-Bains",2645305745
2023-09-11,"23, boulevard Patrick Boulanger 22560 Sainte Margo",7802888662
2022-01-20,"8, boulevard de Weiss 12784 Saint Luc",3398897037
2021-08-06,"9, avenue Bertrand Pons 15496 Lefort-sur-Hebert",5289310499
2020-02-07,"8, boulevard de Weiss 12784 Saint Luc",5061867847
2022-07-28,"55, chemin Denis Dufour 95266 Chartier",1792834852
2021-12-13,"75, avenue de Michel 81614 Meunierdan",2826173895
2023-01-05,"11, avenue Carlier 57944 Legrand",6168859445
2022-01-09,"37, avenue Pierre Rodriguez 97636 Baron",2782039360
2022-09-29,"92, rue de Cousin 56814 Saint Adrienne",7389581584
2021-02-27,"51, boulevard de Jean 97679 Sainte Valérieboeuf",6852238187
2020-07-20,"20, chemin de Pineau 26928 Fernandez",1079519294
2024-02-19,"9, avenue Bertrand Pons 15496 Lefort-sur-Hebert",3473904497
2021-05-29,"8, rue Dumas 32441 David",2109752261
2023-12-08,"16, boulevard Barre 97373 Sainte LuceVille",7844909723
2021-12-27,"23, boulevard Patrick Boulanger 22560 Sainte Margo",5353449584
2021-11-17,avenue Gilles 06756 Petit,7610399927
2021-02-17,"38, chemin Julien 15846 Peron-sur-Grenier",5666309654
2023-02-16,"55, chemin Denis Dufour 95266 Chartier",9007637046
2020-07-29,"83, rue Charles Diallo 71417 MaréchalVille",2373044999
2022-12-08,"59, boulevard de Vallet 67649 Perrotboeuf",9296871511
2020-12-06,rue De Sousa 82879 Roche,2895285531
2021-12-31,"6, boulevard Dumont 10478 Pottier",1247763124
2020-05-09,"75, avenue de Michel 81614 Meunierdan",1915939527
2023-01-04,"38, chemin Julien 15846 Peron-sur-Grenier",7266266076
2022-01-03,"11, avenue Carlier 57944 Legrand",3777425119
2020-01-10,boulevard de Ribeiro 90180 Ruiz-les-Bains,3238507398
2023-06-25,"2, avenue Adèle Jean 20179 Sainte AndréeVille",1853829103
2021-06-14,"87, chemin de Lemaire 48306 Saint Valérienec",2195443312
2020-12-14,"83, rue Raymond Bourgeois 48520 Ollivier",3973728313
2023-02-15,"79, chemin de Thibault 97228 Mahe",1189575492
2022-01-05,"55, chemin Denis Dufour 95266 Chartier",6168859445
2023-09-06,"92, rue de Gaillard 02327 ReyBourg",7015375564
2020-01-05,"8, boulevard de Weiss 12784 Saint Luc",6179561231
2023-02-07,"51, boulevard de Jean 97679 Sainte Valérieboeuf",1730111678
2024-01-31,chemin de Faivre 97611 Saint Alfred-sur-Mer,2630164426
2022-01-11,"8, rue Dumas 32441 David",2700720507
2020-12-26,"8, chemin Fernandez 47926 Henry-les-Bains",6258285716
2020-07-07,"16, boulevard Barre 97373 Sainte LuceVille",9226452068
2021-02-20,"82, boulevard Lemoine 54413 Sainte Margotnec",6887348307
2022-12-12,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",7652110898
2022-11-16,"2, avenue Adèle Jean 20179 Sainte AndréeVille",6179561231
2021-11-28,"83, rue Charles Diallo 71417 MaréchalVille",2491668340
2020-05-25,"15, chemin de Durand 75909 Moreau",2491668340
2023-12-01,"37, avenue Pierre Rodriguez 97636 Baron",5719877351
2022-01-26,"38, chemin Julien 15846 Peron-sur-Grenier",3973728313
2022-01-10,"55, chemin Denis Dufour 95266 Chartier",8534230829
2023-01-21,"42, rue Delattre 30953 Vallée",7401860495
2024-04-26,"87, boulevard Élise Schmitt 45371 Sainte Diane",8089011446
2022-08-10,"690, boulevard Constance Martinez 69634 Lucas",5289310499
2025-02-19,"6, boulevard Dumont 10478 Pottier",5213702416
2023-02-07,"15, chemin de Durand 75909 Moreau",7652110898
2024-09-13,"15, chemin de Durand 75909 Moreau",7015375564
2022-09-06,"9, avenue Bertrand Pons 15496 Lefort-sur-Hebert",2127982791
2020-05-12,"15, chemin de Durand 75909 Moreau",1920222166
2022-11-17,"28, rue Rodrigues 95203 Gilbert",9481488753
2021-01-01,"38, chemin Julien 15846 Peron-sur-Grenier",8865546338
2022-03-05,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",1510576435
2023-02-19,"1, boulevard Coste 89602 Delattre-sur-Raymond",6852238187
2020-03-19,"29, chemin de Maréchal 31762 Pascal-sur-Joly",6706153341
2021-10-07,"8, rue Dumas 32441 David",2895285531
2023-02-21,"16, boulevard Barre 97373 Sainte LuceVille",1730111678
2020-03-07,"8, rue Dumas 32441 David",7505512341
2023-10-09,"55, chemin Denis Dufour 95266 Chartier",4908711034
2020-02-08,"83, rue Charles Diallo 71417 MaréchalVille",8102096044
2021-05-05,"48, boulevard Muller 71270 Klein-sur-Mer",7855904851
2023-04-27,boulevard de Ribeiro 90180 Ruiz-les-Bains,2826173895
2024-01-08,"92, rue de Cousin 56814 Saint Adrienne",1936316918
2021-05-24,"1, boulevard Coste 89602 Delattre-sur-Raymond",8398988598
2020-09-14,"59, boulevard de Vallet 67649 Perrotboeuf",5039442422
2023-01-15,rue de Tanguy 44327 Sainte Antoine,4076708488
2020-04-21,"37, avenue Pierre Rodriguez 97636 Baron",6887348307
2022-10-05,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",5620908988
2024-02-22,"37, avenue Pierre Rodriguez 97636 Baron",6274822489
2020-11-22,"6, boulevard Dumont 10478 Pottier",2497038580
2021-01-24,boulevard de Ribeiro 90180 Ruiz-les-Bains,9438076100
2022-07-19,rue de Tanguy 44327 Sainte Antoine,4076708488
2020-01-05,"24, rue Robert 75624 Benoit-sur-Aubert",9492371465
2020-01-15,"11, avenue Carlier 57944 Legrand",7855904851
2022-01-02,"61, boulevard de Blanc 67736 Sainte Simonenec",6179561231
2020-12-20,"37, avenue Pierre Rodriguez 97636 Baron",5620908988
2020-09-28,"79, chemin de Thibault 97228 Mahe",5026744951
2021-05-14,"24, rue Robert 75624 Benoit-sur-Aubert",4908711034
2021-05-10,"83, rue Raymond Bourgeois 48520 Ollivier",8201618583
2021-02-28,"2, avenue Adèle Jean 20179 Sainte AndréeVille",9946124751
2021-02-05,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",9816731658
2023-03-14,chemin de Faivre 97611 Saint Alfred-sur-Mer,2491668340
2020-02-23,"18, avenue Descamps 62353 Saint Margaux",7444184806
2022-10-06,"943, avenue de Vallée 53176 Le Rouxboeuf",8201618583
2024-01-28,chemin de Faivre 97611 Saint Alfred-sur-Mer,8887217737
2023-02-04,"13, rue Ferreira 75434 Legendre-sur-Mer",1936316918
2021-12-04,chemin de Faivre 97611 Saint Alfred-sur-Mer,6145055196
2020-01-02,rue de Mendès 47183 Pereznec,7130767146
2020-02-21,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",3606806005
2020-01-23,"24, rue Robert 75624 Benoit-sur-Aubert",2630164426
2023-10-20,"27, rue Girard 17980 Lacombe-les-Bains",3180759815
2023-02-18,"8, boulevard de Weiss 12784 Saint Luc",7263759603
2024-01-24,boulevard de Ribeiro 90180 Ruiz-les-Bains,3606806005
2020-05-20,"16, boulevard Barre 97373 Sainte LuceVille",8487821390
2023-01-08,"2, avenue Adèle Jean 20179 Sainte AndréeVille",5116884576
2024-02-07,"18, avenue Descamps 62353 Saint Margaux",8992068545
2024-12-06,"6, boulevard Dumont 10478 Pottier",1792834852
2020-02-20,"1, boulevard Coste 89602 Delattre-sur-Raymond",8927419432
2020-12-28,"29, chemin de Maréchal 31762 Pascal-sur-Joly",9946124751
2025-01-08,"42, rue Delattre 30953 Vallée",3723076500
2020-10-03,"82, boulevard Lemoine 54413 Sainte Margotnec",9939612970
2023-03-06,"2, avenue Adèle Jean 20179 Sainte AndréeVille",5638284296
2020-12-05,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",1792834852
2022-12-16,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",8887217737
2020-03-25,"87, chemin de Lemaire 48306 Saint Valérienec",2373044999
2024-01-29,"24, rue Robert 75624 Benoit-sur-Aubert",2491668340
2024-01-22,"75, avenue de Michel 81614 Meunierdan",2700720507
2022-01-18,"48, boulevard Muller 71270 Klein-sur-Mer",5353449584
2023-05-25,"27, rue Girard 17980 Lacombe-les-Bains",3180759815
2023-02-14,"943, avenue de Vallée 53176 Le Rouxboeuf",3973728313
2021-12-19,"8, boulevard de Weiss 12784 Saint Luc",2383688471
2023-01-10,"27, rue Girard 17980 Lacombe-les-Bains",2700720507
2022-05-24,"92, rue de Cousin 56814 Saint Adrienne",9438076100
2020-05-06,"61, boulevard de Blanc 67736 Sainte Simonenec",6258285716
2023-01-30,"37, avenue Pierre Rodriguez 97636 Baron",1079519294
2021-01-06,"16, boulevard Barre 97373 Sainte LuceVille",4583404796
2026-01-16,"690, boulevard Constance Martinez 69634 Lucas",2645305745
2022-12-19,"87, boulevard Élise Schmitt 45371 Sainte Diane",1792834852
2022-05-09,"2, avenue Adèle Jean 20179 Sainte AndréeVille",2467117348
2021-03-18,"23, boulevard Patrick Boulanger 22560 Sainte Margo",1915939527
2022-06-24,"8, rue Dumas 32441 David",3176559923
2022-01-05,"79, chemin de Thibault 97228 Mahe",3777425119
2020-02-22,"690, boulevard Constance Martinez 69634 Lucas",6039767575
2022-01-23,"2, avenue de Raynaud 39343 Jourdan",7657538937
2023-10-10,"2, avenue Adèle Jean 20179 Sainte AndréeVille",5256871839
2021-11-16,"12, chemin Letellier 83914 Jacquet",5026744951
2020-12-31,"75, avenue de Michel 81614 Meunierdan",7015375564
2022-07-28,"13, rue Ferreira 75434 Legendre-sur-Mer",2383688471
2021-10-06,"69, chemin Le Goff 62402 Saint David",3029896198
2023-12-15,"435, boulevard Frédéric Texier 56186 Saint Victorn",6271621707
2020-02-04,"690, boulevard Constance Martinez 69634 Lucas",5353449584
2021-05-27,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",7855904851
2024-02-22,rue de Tanguy 44327 Sainte Antoine,3005393867
2023-02-25,"435, boulevard Frédéric Texier 56186 Saint Victorn",2491668340
2023-01-27,"6, boulevard Dumont 10478 Pottier",3005393867
2020-05-05,"8, boulevard de Weiss 12784 Saint Luc",9533395560
2023-12-31,"87, boulevard Élise Schmitt 45371 Sainte Diane",9775284386
2020-05-07,"55, chemin Denis Dufour 95266 Chartier",6997039885
2021-10-26,"943, avenue de Vallée 53176 Le Rouxboeuf",6706153341
2024-01-10,"83, rue Charles Diallo 71417 MaréchalVille",2895285531
